Title,Location,Words,HasAboutRole,HeadingsUsed,Issues
"Revenue Operations Engineer, Quoting Systems","San Mateo, California, United States - Full-time",508,Y,h2,uses real heading tags (5× <h2> (22–32px)); 2 empty <p></p> filler paragraph(s); 4 trailing <br> in <p>; 4 ALL-CAPS bolded segment(s); uses Title Case section headings (1×)
Aviation Compliance Lead,"San Mateo, California, United States - Full-time",399,N,h2,uses real heading tags (3× <h2> (22–32px)); missing 'About the role' bold heading; 1 empty <p></p> filler paragraph(s); 1 trailing <br> in <p>
Senior People Analytics Analyst,"San Mateo, California, United States - Full-time",725,Y,p>strong,2 empty <p></p> filler paragraph(s); 1 ALL-CAPS bolded segment(s); uses Title Case section headings (1×); 1 #LI-* signoff(s) in pre-comp
Senior Technical Support Representative - Japan,"Tokyo, Japan - Full-time",717,N,h1,uses real heading tags (3× <h1> (28–48px)); missing 'About the role' bold heading; 1 empty <p></p> filler paragraph(s); 1 #LI-* signoff(s) in pre-comp
Software Engineer - Cloud Simulation & Full-Stack,"San Mateo, California, United States - Full-time",552,N,h2,uses real heading tags (5× <h2> (22–32px)); missing 'About the role' bold heading; 2 empty <p></p> filler paragraph(s); 1 ALL-CAPS bolded segment(s)
Software Engineer - Cloud Simulation & Full-Stack,"Zurich, Switzerland - Full-time",552,N,h2,uses real heading tags (5× <h2> (22–32px)); missing 'About the role' bold heading; 2 empty <p></p> filler paragraph(s); 1 ALL-CAPS bolded segment(s)
Aviation Regulatory Program Manager,US Remote - Full-time,493,N,h2,uses real heading tags (3× <h2> (22–32px)); missing 'About the role' bold heading; 2 empty <p></p> filler paragraph(s)
Communications Manager,US Remote - Full-time,425,N,h2,uses real heading tags (3× <h2> (22–32px)); missing 'About the role' bold heading; 3 empty <p></p> filler paragraph(s)
Deployment Coordinator,US Remote - Full-time,422,N,h2,uses real heading tags (4× <h2> (22–32px)); missing 'About the role' bold heading; 4 empty <p></p> filler paragraph(s)
Deployment Engineer - Southeast,US Remote - Full-time,595,Y,p>strong,section heading run-on (heading concatenated with body); 5 empty <p></p> filler paragraph(s); uses Title Case section headings (1×)
GTM Data Engineer Intern,"San Mateo, California, United States - Intern",456,Y,p>strong,section heading run-on (heading concatenated with body); 2 empty <p></p> filler paragraph(s); 2 trailing <br> in <p>
Hardware Technician,"San Mateo, California, United States - Full-time",376,Y,p>strong,section heading run-on (heading concatenated with body); 3 empty <p></p> filler paragraph(s); uses Title Case section headings (1×)
Hardware Test and Reliability Intern,"San Mateo, California, United States - Intern",565,Y,p>strong,1 empty <p></p> filler paragraph(s); uses Title Case section headings (1×); 1 #LI-* signoff(s) in pre-comp
Lead Staff Electrical Engineer (F10 Program),"San Mateo, California, United States - Full-time",318,Y,p>strong,section heading run-on (heading concatenated with body); 2 empty <p></p> filler paragraph(s); 1 trailing <br> in <p>
"Project Manager, Workplace","San Mateo, California, United States - Full-time",491,N,h3,uses real heading tags (2× <h3> (18–28px)); missing 'About the role' bold heading; 1 empty <p></p> filler paragraph(s)
Sales Planning Analyst Intern,"San Mateo, California, United States - Intern",596,Y,p>strong,section heading run-on (heading concatenated with body); 1 empty <p></p> filler paragraph(s); 1 #LI-* signoff(s) in pre-comp
"Software Engineer - Autonomy Infrastructure, Systems and Tools","San Mateo, California, United States - Full-time",521,N,h2,uses real heading tags (5× <h2> (22–32px)); missing 'About the role' bold heading; 1 empty <p></p> filler paragraph(s)
"Software Engineer - Autonomy Infrastructure, Systems and Tools","Zurich, Switzerland - Full-time",521,N,h2,uses real heading tags (5× <h2> (22–32px)); missing 'About the role' bold heading; 1 empty <p></p> filler paragraph(s)
Software Engineer - Simulation & Robotics Engineer,"San Mateo, California, United States - Full-time",482,N,h3,uses real heading tags (5× <h3> (18–28px)); missing 'About the role' bold heading; 2 empty <p></p> filler paragraph(s)
Software Engineer - Simulation & Robotics Engineer,"Zurich, Switzerland - Full-time",482,N,h3,uses real heading tags (5× <h3> (18–28px)); missing 'About the role' bold heading; 2 empty <p></p> filler paragraph(s)
Software Engineer Intern Fall 2026/Winter 2027,US CA San Mateo - Intern,528,Y,p>strong,section heading run-on (heading concatenated with body); 3 empty <p></p> filler paragraph(s); 1 #LI-* signoff(s) in pre-comp
Autonomy Engineer - Deep Learning Infrastructure,"San Mateo, California, United States - Full-time",481,N,p>strong,missing 'About the role' bold heading; 1 empty <p></p> filler paragraph(s)
Autonomy Engineer Intern - Computer Vision/Deep Learning Fall 2026,"San Mateo, California, United States - Intern",524,Y,p>strong,1 trailing <br> in <p>; 1 #LI-* signoff(s) in pre-comp
"Director of Product Management, Drone as First Responder (DFR)","San Mateo, California, United States - Full-time",875,Y,p>strong,section heading run-on (heading concatenated with body); 1 #LI-* signoff(s) in pre-comp
"Director, Growth Marketing - Commercial","San Mateo, California, United States - Full-time",596,Y,p>strong,3 empty <p></p> filler paragraph(s); 8 trailing <br> in <p>
Field Marketing Event Manager,"San Mateo, California, United States - Full-time",518,Y,h3,uses real heading tags (7× <h3> (18–28px)); uses Title Case section headings (3×)
GTM Enablement Associate,"San Mateo, California, United States - Full-time",374,Y,p>strong,section heading run-on (heading concatenated with body); 1 empty <p></p> filler paragraph(s)
Manufacturing Quality Supervisor,"Hayward, California, United States - Full-time",371,Y,p>strong,1 empty <p></p> filler paragraph(s); uses Title Case section headings (1×)
PhD Autonomy Engineer Intern - Deep Learning or Computer Vision,"San Mateo, California, United States - Intern",521,Y,p>strong,1 trailing <br> in <p>; 1 #LI-* signoff(s) in pre-comp
PhD Autonomy Engineer Intern - Planning & Controls (Reinforcement Learning),"Zurich, Switzerland - Intern",442,Y,h3,uses real heading tags (3× <h3> (18–28px)); 2 ALL-CAPS bolded segment(s)
Product Support Engineer,"San Mateo, California, United States - Full-time",581,N,p>strong,missing 'About the role' bold heading; 2 empty <p></p> filler paragraph(s)
Product Support Engineer Intern,"San Mateo, California, United States - Intern",441,N,p>strong,missing 'About the role' bold heading; 3 empty <p></p> filler paragraph(s)
"Production Manager, PM Shift","Hayward, California, United States - Full-time",295,Y,p>strong,3 empty <p></p> filler paragraph(s); uses Title Case section headings (3×)
Senior Autonomy Engineer - Data Curation,"San Mateo, California, United States - Full-time",436,Y,p>strong,4 empty <p></p> filler paragraph(s); uses Title Case section headings (3×)
Senior Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",314,Y,p>strong,section heading run-on (heading concatenated with body); 1 empty <p></p> filler paragraph(s)
Senior Brand Designer (Contract),"San Mateo, California, United States - Full-time",501,Y,p>strong,3 empty <p></p> filler paragraph(s); uses Title Case section headings (1×)
Senior Buyer,"Hayward, California, United States - Full-time",478,Y,h2,uses real heading tags (2× <h2> (22–32px)); 3 empty <p></p> filler paragraph(s)
"Senior Product Manager, Platform & Infrastructure","San Mateo, California, United States - Full-time",767,Y,p>strong,section heading run-on (heading concatenated with body); 6 empty <p></p> filler paragraph(s)
Senior Revenue Operations Manager,"San Mateo, California, United States - Full-time",441,Y,p>strong,2 empty <p></p> filler paragraph(s); uses Title Case section headings (2×)
Senior Software Engineer - Mobile Platform,"San Mateo, California, United States - Full-time",530,Y,p>strong,3 empty <p></p> filler paragraph(s); uses Title Case section headings (3×)
"Senior Software Engineer, Full Stack","San Mateo, California, United States - Full-time",623,Y,p>strong,1 trailing <br> in <p>; uses Title Case section headings (1×)
Senior/Staff Embedded Software Engineer – Camera Systems,"San Mateo, California, United States - Full-time",394,Y,p>strong,4 empty <p></p> filler paragraph(s); uses Title Case section headings (3×)
Sr/Staff Embedded Software Engineer - Camera Systems,"Tampere, Finland - Full-time",394,Y,p>strong,4 empty <p></p> filler paragraph(s); uses Title Case section headings (3×)
"Staff Product Manager, Cameras & Sensors","San Mateo, California, United States - Full-time",713,N,p>strong,missing 'About the role' bold heading; 1 #LI-* signoff(s) in pre-comp
